created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,
06-12-2021,314,300,4,4,1,7,Bogor Timur,SHM,3500,,2900000000,https://www.rumah.com/listing-properti/dijual-rumah-mewah-harga-bagus-siap-huni-di-kawasan-premium-dan-strategis-di-jantung-kota-bogor-oleh-raffi-rolando-sinaga-19394698,"Taman+Gazebo, Selangkah ke Tol&Terminal Baranangsiang, Backyard",
06-12-2021,1272,500,4,5,0,2,Babakan Madang,SHM,5500,,15000000000,https://www.rumah.com/listing-properti/dijual-rumah-best-view-Babakan Madang-city-bogor-oleh-ahmad-supriyanto-15803712,Rumah best view,
06-12-2021,90,72,3,2,0,1,Bogor Barat,SHM,2200,,800000000,https://www.rumah.com/listing-properti/dijual-rumah-di-bogor-fasilitas-exclusive-oleh-yolanda-lanes-19384242,"Taman bermain anak, Ruang terbuka hijau tematik, double gate security system",
06-12-2021,90,48,2,2,0,1,Bogor Barat,SHGB,2200,,600000000,https://www.rumah.com/listing-properti/dijual-termurah-lt-90-harga-600jt-oleh-yolanda-lanes-17774065,"10 menit MCD Yasmin, rumah cantik konsep bali",
06-12-2021,338,250,4,3,0,2,Babakan Madang,SHM,3500,,3700000000,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-Babakan Madang-city-oleh-ahmad-supriyanto-16131852,"Dekat dengan view golf, dekat sekolah, beberapa menit ke gerbang toll Babakan Madang",
06-12-2021,62,43,2,1,0,1,Gunung Putri,SHM,1300,,460000000,https://www.rumah.com/listing-properti/dijual-cluster-chiara-3-harga-murah-lokasi-gunung-asih-bogor-ready-stock-siap-huni-oleh-sadrach-bagas-19394687,"20 menit dari tol Jatiasih, bebas banjir, CCTV 24 jam",
06-12-2021,60,40,2,1,0,1,Gunung Putri,SHM,2200,,880000000,https://www.rumah.com/listing-properti/dijual-the-lagoon-park-oleh-nova-tiara-19284218,"5 menit ke tol cimanggis, 10 menit ke stasiun LRT Cimanggis, 15 menit ke RS permata cibubur",
06-12-2021,196,170,3,3,1,1,Babakan Madang,SHM,2200,,2100000000,https://www.rumah.com/listing-properti/dijual-la-vanoise-village-oleh-nova-tiara-19178822,"10 menit ke AEON Mall Babakan Madang, 12 menit ke pintu Tol Babakan Madang Selatan, 30 menit ke Kebun Raya Bogor",
06-12-2021,72,47,2,1,0,1,Parung,SHGB,2200,,760000000,https://www.rumah.com/listing-properti/dijual-keila-gdc-parung-oleh-nova-tiara-19250508,"Free Canopy, Smart Door Lock, Smart Home System",
06-12-2021,120,125,3,3,2,0,Babakan Madang,SHGB,2200,,1946600000,https://www.rumah.com/listing-properti/dijual-rumah-di-Babakan Madang-bogor-dekat-tol-stasiun-lrt-murah-modern-minimalis-tipe-agra-prime-125-120-oleh-asa-pertiwi-19057296,"Dekat tol dan stasiun LRT Babakan Madang, Fasilitas lengkap, DP 0-50%",
06-12-2021,167,300,4,3,2,0,Gunung Putri,SHM,5500,"Timur, Utara",3200000000,https://www.rumah.com/listing-properti/dijual-cibubur-country-cluster-moonlake-oleh-nova-tiara-19158972,"Dekat Water Splash CIbubur Country, 10 menit ke Mal CIputra CIbubur, 12 Menit ke Gerbang Tol Jatikarya, 15 menit ke Trans Studio Cibubur",
06-12-2021,72,33,2,1,0,1,Gunung Putri,SHM,2200,,574600000,https://www.rumah.com/listing-properti/dijual-rumah-villa-murah-di-cikeas-gunung-putri-bogor-jawa-barat-oleh-dk-sari-18718726,"Lokasi strategis, one gate system, smart door lock, club house, kolam renang, CCTV 24 jam",
06-12-2021,60,70,2,2,0,1,Gunung Putri,SHM,2200,,916000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-cibubur-oleh-dk-sari-18329132,"Lokasi strategis dekat TOL, one gate system, keamanan 24 jam",
06-12-2021,60,40,1,1,0,1,Babakan Madang,SHM,2200,,810000000,https://www.rumah.com/listing-properti/dijual-adhi-city-Babakan Madang-oleh-nova-tiara-19283860,"Lokasi strategis, fasilitas lengkap, keamanan 24 jam",
