Created_at,LT(m²),LB(m²),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi
06-12-2021,210,350,4,3,1,1,Sambikerep,SHM,3300,selatan,2900000000,https://www.rumah123.com/properti/surabaya/hos9291279/,"Citra Land Int. Village, ( Modern - Mediterania)
Dimensi 10 x 21, LT 210 m², LB ±350m², KT 4+1, KM 3+1, SHM, Hadap Selatan, Garasi 1 Mobil, Carport 1 Mobil, ROW Jalan 3,5 MOBIL
Harga Rp 2,9M"
06-12-2021,85,165,4,4,,,Tenggilis Mejoyo,SHM,,timur,1575000000,https://www.rumah123.com/properti/surabaya/hos9291141/,"Rumah Tenggilis Mejoyo Selatan
NEW GRESS MINIMALIS, STRATEGIS SIAP HUNI, MODERN ISTIMEWA
LT: 5.3x16 (85), LB: 165, 2 LANTAI, 4 KT , 4 KM, Hadap: timur, SHM
Harga: 1.575M"
06-12-2021,167,225,5,3,,2,Wiyung,SHM,,selatan,2900000000,https://www.rumah123.com/properti/surabaya/hos9291260/,
06-12-2021,113,150,3,3,,1,Mulyorejo,SHM,2200,utara,950000000,https://www.rumah123.com/properti/surabaya/hos9291241/,"Rumah Dijual Surabaya MULYOSARI I TERMURAH
( MODERN MEDITERANIA)

DIMENSI 7 X 16,2, LT 113 M², LB ±150 M², 2 LANTAI, KT 3 +1, KM 3 +1, HADAP UTARA, SHM, CARPORT 1 MOBIL, ROW JALAN 2 MOBIL LONGGAR
HARGA RP 950JT"
06-12-2021,240,400,4,3,,2,Wiyung,SHGB,4400,selatan,6900000000,https://www.rumah123.com/properti/surabaya/hos9291224/,"*Rumah WISATA BUKIT MAS 2 Raya Boulevard , Wiyung Surabaya Barat*
Lt : 240 (12x20), Lb : 400, 2 Lantai, Kt : 4+1, Km : 3+1, Hadap : Selatan, Surat : HGB Perorangan, Listrik : 4400 watt
- Furnish lux baru - 5 AC - Full renov - 30 mtr dpn Club House
*Harga : 6,9 M nego*"
06-12-2021,360,450,3,4,2,2,Wiyung,SHGB,5500,utara,16000000000,https://www.rumah123.com/properti/surabaya/hos9292126/,"Graha famili minimalis modern
Dimensi (15*24), Split level (2.5 lantai), Luas Tanah 360m2, Luas Bangunan 450m2, KT : 3+1, KM : 4+1, Swimming Pool & BBQ area, sertifikat , hadap utara, Garasi 2 mobil, Carport 2 mobil
spek : Sanitary : hansgrohe & kohler, Lantai Granit Tile & Lantai kamar tidur parkeet kayu merbau & jati, Kusen aluminium : Eterno
Harga 16M nego"
06-12-2021,616,300,3,3,,,Sukolilo,SHM,4400,,7500000000,https://www.rumah123.com/properti/surabaya/hos9291229/,"Rumah Dijual Surabaya LOKASI SANGAT STRATEGIS, MUDAH DI AKSES.
LOKASI STRATEGIS UNTUK USAHA APAPUN, DEKAT UBAYA NGAGLE, DEKAT RUKO RMI, POSISI HOOK, PARKIRAN SANGAT LUAS"
06-12-2021,260,260,3,2,,,Dukuh Pakis,SHM,,,5000000000,https://www.rumah123.com/properti/surabaya/hos9292147/,"Dijual Cepat Rumah Di Jalan Darmo Permai Timur , Surabaya
SHM
Bangunan 1 Lantai, Luas Bangunan FULL, Luas Tanah 260 m2, Dimensi 10x26, 3 Kamar Tidur, 2 Kamar Mandi
Harga 5 M/N"
06-12-2021,375,450,4,4,,,Wiyung,SHGB,10000,utara,8700000000,https://www.rumah123.com/properti/surabaya/hos9292167/,"Di jual Rumah Dian Istana Klasik Modern
Lt 15 X25 = 375, Lb 450, Kt 4+1, Km 4 +1, Listrik 10000, Hadap Utara, Lantai Marmer Semi Furnish, Surat SHGB
Harga : 8.7 M nego"
06-12-2021,450,600,4,3,1,2,Sambikerep,SHM,15000,,16000000000,https://www.rumah123.com/properti/surabaya/hos9292198/,"Full Spesifikasi Bangunan
* Luas Tanah 450 m2 * Dimensi 15 x 30 *Luas Bangunan 600 m2 * Bangunan 2 lantai * Lantai Full Marmer * Kamar Tidur 4+1 (2 Kamar Utama) * Kamar Mandi 3+1 * PLN 15000 W * Swimming Pool * Garasi 1 mobil * Carport 2 mobil * Hadap Selatan * Surat SHM
* Harga 16 M/Nego"
