created_at,LT (M2),LB (M2),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi 
06-12-2021,120,50,2,1,1,1,Tabanan,SHM,1300,Utara,400000000,https://www.rumah123.com/properti/tabanan/hos9272669/,"Di Jual CEPAT :
Rumah baru minimalis lantai 1 yg berlokasi di Jln. Garuda Kediri Tabanan Bali Indonesia"
18-11-2021,171,150,3,3,,1,Denpasar,SHM,3500,Utara,1700000000,https://www.lamudi.co.id/dijual-rumah-siap-huni-gatsu-barat.html,"DIJUAL RUMAH KAWASAN GATSU BARAT DENPASAR
JALAN GUNUNG SARI"
05-12-2021,65,45,2,1,1,1,Gianyar,SHM,1300,Utara,450000000,https://www.rumah123.com/properti/gianyar/hos9283489/,RUMAH MINIMALIS SIAP HUNI TERBARU DI DESA CELUK SUKAWATI
04-12-2021,147,80,3,2,,1,Denpasar,SHM,2200,Utara,160000000,https://www.rumah123/.com/properti/denpasar/hos9283389/,RUMAH VIEW LAUT 7 MENIT DARI PLAZA RENON
03-12-2021,170,200,3,3,,1,Badung,SHM,2200,Selatan,1850000000,https://www.rumah123.com/properti/badung/hos9277525/,"Dijual Rumah Kedonganan Bali, Jl. Uluwatu gang soka no. 89, kelan, kedonganan"
03-12-2021,147,80,3,2,,1,Denpasar,SHM,1300,,1600000000,https://www.rumah123.com/properti/denpasar/hos9277636/,PERUMAHAN MEWAH VIEW LAUT LOKASI STRATEGIS DEKAT PANTAI DI BALI
03-12-2021,7,50,4,2,,,Denpasar,SHM,1300,Utara,700000000,https://www.rumah123.com/properti/denpasar/hos9278734/,"Rumah Murah Jalan Merpati Monang Maning,Dijual rumah murah, area rame penduduk, lokasi Jlaan Merpati Monang Maning Denpasar, cocok untuk jual sembako, luas tanah 70m2, luas bangunan 50m2, lebar jalan 3 meter, listrik 1300 watt, PDAM, view menghadap ke utara,Harga Rp 700 juta nego,Jarak Destinasi terdekat,10 menit ke Kota Denpasar,3 menit ke Lapangan Kompyang Sujana,8 menit ke SMAN 4 Denpasar "
04-12-2021,125,160,4,2,1,1,Denpasar,SHM,3500,Selatan,1900000000,https://www.rumah123.com/properti/denpasar/hos9278803/,Rumah Minimalis di Kota Denpasar
04-12-2021,300,220,2,2,,,Gianyar,SHM,1300,,1750000000,https://www.rumah123.com/properti/gianyar/hos9278910/,"Dijual murah Ruamah second lantai 2 dengan luas 300m2 di Daerah Pariwisata Ubud, dengan lingkungan villa di sekelilingnya. Lokasi ini sangat dekat dengan beberapa objek pariwisata seperti, Ceking rice terrace, Pura tirta empul dan beberapa atraksi pariwisata seperti, wisata naik Gajah dan wisata arum jeram. Lokasi rumah ini sangat nyaman dengan suasana alam yg sangat kental. Tunggu apa lagi, silahkan lakukan transaksi sekarang mumpung harga masih suasana covid, dan harga ini sewaktu2 akan bisa naik ketika suasana menjadi normal."
04-12-2021,100,115,3,2,1,1,Gianyar,SHM,1300,Utara,825000000,https://www.rumah123.com/properti/gianyar/hos9280912/,Sedang dibangun rumah lantai 2 luas 100M2 di Batu Bulan
04-12-2021,62,36,2,1,,1,Denpasar,SHM,1300,,450000000,https://www.rumah123.com/properti/denpasar/hos9281980/,"Rumah termurah di Denpasar harga 400 jutaan, Unit rumah paling murah di Denpasar lokasi strategis di perkotaan dekat dengan pusat perbelanjaan dan fasilitas publik, segera miliki rumah termurah di denpasar harga 400 jutaan.
"
04-12-2021,113,160,4,3,,1,Badung,SHM,5500,,2700000000,https://www.rumah123.com/properti/badung/hos9283379/,"Rumah siap huni 9 menit ke Pantai Jimbaran, 
Rumah siap huni fully furnished di Jimbaran. Dijual rumah 2 lantai di Jimbaran. Lokasi 9 menit ke Pantai Jimbaran. Akses jalan lebar. Kawasan perumahan elite Harvestland. Rumah murah 2 lantai di kawasan perumahan elite Jimabaran. Harga murah"
04-12-2021,147,80,3,2,,1,Denpasar,SHM,2200,Utara,1600000000,https://www.rumah123.com/properti/denpasar/hos9283389/,"Rumah view laut 7 menit dari plaza renon,  Rumah 2 lantai Termurah di Sanur. Lokasi hanya 7 menit dari Plaza Renon. Perumahan mewah harga termurah dengan view Laut di Bali. Dijual rumah baru 2 lantai di Sanur. Beli sekarang selama harga promo.Harga sudah termasuk semua biaya."
05-12-2021,640,350,4,4,5,5,Denpasar,SHM,4400,Utara,6000000000,https://www.rumah123.com/properti/denpasar/hos9283498/,"DIJUAL RUMAH NYAMAN & MODERN DI DENPASAR,Lokasi: Cargo-Denpasar Utara"
10-11-2021,60,65,3,2,,1,Denpasar,SHM,1300,Selatan,600000000,https://www.lamudi.co.id/jual-rumah-3-kamar-area-pantai-sanur-kertalangu-denpasar-timur-bali.html,"Sisa 1 Unit lokasi dekat pantai Biaung & Sanur
Rumah Tingkat Exclusive Dekat Pantai Biaung
Murah Startegis NYaman Aman Modern Berkualitas
Sandat Biaung Residence
Jl Pucuk Bang Gg Uma Anyar Biaung Kesiman Denpasar Timur Bali  "
